ประเภทรถไฟ,เส้นทางต้นทาง,รหัสสถานีต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,รหัสสถานีปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S4,Saint Louis,47,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S5,Surasak,47,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S6,Saphan Taksin,47,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S7,Krung Thon Buri,47,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S8,Wongwian Yai,47,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S9,Pho Nimit,62,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S10,Talat Phlu,62,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S11,Wutthakat,62,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสีลม,S12,Bang Wa,62 ,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N24,Khu Khot, 0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N23,Yaek Kor Por Aor,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N22,Royal Thai Air Force Museum,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N20,Saphan Mai,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N19,Sai Yud,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N18,Phahon Yothin 59,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N17,Wat Phra Sri Mahathat,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N16,11th Infantry Regiment,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N15,Bang Bua,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N14,Royal Forest Department,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N13,Kasetsart University,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N12,Sena Nikhom,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N11,Ratchayothin,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N10,Phahon Yothin 24,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N9,Ha Yaek Lat Phrao,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N8,Mo Chit,0,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N7,Saphan Khwai,17,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N6,Sena Ruam*,25,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N5,Ari,28,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N4,Sanam Pao,32,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N3,Victory Monument,35,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N2,Phaya Thai,40,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,N1,Ratchathewi,43,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,CEN,Siam,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E1,Chit Lom,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E2,Phloen Chit,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E3,Nana,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E4,Asok,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E5,Phrom Phong,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E6,Thong Lo,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E7,Ekkamai,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E8,Phra Khanong,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E9,On Nut,47,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E10,Bang Chak,62,,
รถไฟฟ้า ,สายสุขุมวิท,N23,Yaek Kor Por Aor,สายสุขุมวิท,E11,Punnawithi,62,,
